Change component parameters: Designator = "J1" ("J1"); Footprint = "1-179276-2"; UniqueID = "\MYMDQFET" ("\MYMDQFET")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Product URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.te.com/en/product-1-179276-2.html?te_bu=Cor&te_type=srch&te_campaign=oct_usa_cor-oct-usa-srch-smbmktg-fy23-octopart-feed_sma-2210_1&elqCampaignId=147303"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity-AMP Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "1-179276-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "A29545-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "J4" ("J4"); Footprint = "2Pins_AMP"; UniqueID = "\VCWZAJTS" ("\VCWZAJTS")
Change component parameters (AddParameter): Name = "Digi-Key_Part_Number_1"; Value = "609-5502-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digi-Key_Part_Number_2"; Value = "67997-402HLF-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Amphenol ICC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RefDes"; Value = "RefDes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Arrow Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "67997-402HLF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Type"; VariantName = "[No Variations]"
Change component parameters: Designator = "J6" ("J6"); Footprint = "FP-RASM722PTR13X-MFG"; UniqueID = "\PWVBUIRM" ("\PWVBUIRM")
